KO	Global_Test_RSQR	Global_Test_Pearson	Global_Test_Spearman
M00276	0.5054376860719529	0.7619751226373686	0.536896614201301
M00280	0.20640109259181205	0.6274118757406857	0.5568291670806619
M00283	0.2957231685035091	0.7947246374525077	0.6678869296364051
M00303	0.7110246023077815	0.8475334798622947	0.6465779645464268
M00305	0.40837907707642473	0.7819571514139775	0.6378067148125225
M00306	0.43729827290050083	0.9027724759600615	0.7527212633769149
M00307	0.027693189202576796	0.6301670354287338	0.6869953885807466
M00331	0.4129861487476665	0.9130266267376874	0.9120647936550612
M00332	0.5806026570659271	0.7890815539090806	0.8366584452094425
M00336	-0.47934966088687836	0.6975718091179035	0.7581807395804719
M00344	0.5653514141665006	0.8098969179599754	0.5591947842451942
M00348	0.4368610577883193	0.8389809517673542	0.7570278847671205
M00349	0.493228646593295	0.9157710886903552	0.7457208484076284
M00356	0.5148616615474727	0.7658690096557428	0.7550801592079347
M00358	-0.004441595431277978	0.709335126865767	0.5242070287614627
M00364	-169.11094808603207	-0.015845483015297836	-0.08182843650093222
M00365	-0.5713630799748637	0.738149002161083	0.6508647141679866
M00367	0.39444733238317753	0.7499652822002327	0.5440901944511009
M00448	-2.277674218574647	0.25207270466849624	0.1819853650268561
M00449	0.7852051628613373	0.8901088703407284	0.8347016604616095
M00455	-0.22232306410271874	0.5828204343258722	0.3631574486986914
M00467	-1.2118056540641433	None	None
M00473	0.36636037806074473	0.8629765589401339	0.7333644073245001
M00479	-0.5278037524568542	0.4893025062705442	0.483621279157437
M00481	-2.2437439024381587	0.2964944793517198	0.12773748224691256
M00501	-1.4954066265727004	None	None
M00502	-0.8335019668961474	0.7911779594734659	0.5503606141545438
M00504	-1.7343980736161337	0.13150896154326458	0.20547028878355553
M00505	-0.5131116628573928	0.040982074084874136	0.20803433140265462
M00507	-0.23653862274887683	0.2961209280678355	0.012196882470177734
M00515	-0.5753288777826948	None	None
M00530	0.010259519080907498	0.8971920025557122	0.7572689760778973
M00531	-0.561572494608136	0.422528733078105	0.40490745015985086
M00537	0.37498146304979985	0.6330843426915855	0.6802233387966545
M00538	0.37498146304979985	0.6330843426915855	0.6802233387966545
M00540	0.23108545829574434	0.7758438470548806	0.2790598178183811
M00542	0.5401217290311566	0.8056149200137839	0.8277155648550238
M00546	0.5365008778292379	0.7754311905876528	0.7612477132854463
M00549	-0.09670136935808826	0.582558510544771	0.3610074986703449
M00550	0.18411661161066428	0.7902470188872731	0.5915317042379469
M00555	-0.8579433490981943	0.7626132026784989	0.7135732946807951
M00568	-4.09101071175095	0.27626140157663576	0.027184871739422665
M00580	0.4397653760042748	0.7577467542941759	0.7701917625674326
