# PyCode/FiShTaCo/fishtaco/compute_contribution_to_DA.py {'multiple_hypothesis_correction': 'FDR-0.1', 'write_log': True, 'single_function_filter': 'M00002', 'taxa_abun_file': 'IGC/QIN_T2D/genus_vs_sample.tab', 'perform_inference_on_ko_level': False, 'number_of_shapley_orderings_per_taxa': '5', 'function_abun_file': 'IGC/Data//WGS_KO_vs_SAMPLE_MUSiCC.tab', 'functional_profile_already_corrected_with_musicc': True, 'score_to_compute': 'wilcoxon', 'case_label': '1', 'max_da_functions_cases_controls': '200', 'max_score_cutoff': '100', 'normalization_mode': 'scale_permuted', 'class_file': 'IGC/QIN_T2D/sample_vs_class.tab', 'map_function_level': 'module', 'na_rep': '0', 'taxa_assessment_method': 'multi_taxa', 'output_pref': 'IGC/QIN_T2D/Output_Genus_REMOVE_RESIDUAL_SCALE_PERMUTED_MAPPING_511_GENOMES_MEAN/Parallel/M00002/module_with_t2f', 'apply_inference': False, 'taxa_to_function_file': 'IGC/Data//genus_vs_KO_511_GENOMES_MEAN.tab', 'residual_mode': 'remove_residual', 'control_label': '0', 'number_of_permutations': '100', 'map_function_file': '/net/gs/vol1/home/ohadm/MUSiCC/Matrices/KOvsMODULE_BACTERIAL_KEGG_2013_07_15', 'da_result_file': 'IGC/QIN_T2D/Output_Genus_REMOVE_RESIDUAL_SCALE_PERMUTED_MAPPING_511_GENOMES_MEAN/Parallel/DA_of_MODULE.tab', 'permutation_mode': 'blocks'}
Taxa	meanCases	meanControls	StatValue	pval	singLogP	Bonf	FDR-0.01	FDR-0.05	FDR-0.1	Metadata
Clostridium	0.031696847459542904	0.022543823955738666	1.0656069564044677	0.28660135326568825	0.5427217632951522	0.0	0.0	0.0	0.0	Clostridium
Collinsella	0.002640524699470746	0.0013381573814975447	0.41458264565280206	0.6784474546219899	0.168483782567842	0.0	0.0	0.0	0.0	Collinsella
Comamonas	8.730940926557718e-05	5.8522232288827655e-06	-1.5973307923003142	0.11019199042654317	-0.9578499720901662	0.0	0.0	0.0	0.0	Comamonas
Coprobacillus	0.0027926244254494847	0.0013486736638953468	3.5239524880488173	0.0004251604780679039	3.3714471132803703	1.0	1.0	1.0	1.0	Coprobacillus
Coprococcus	0.00482566036794553	0.005531563170680932	-2.346062731780049	0.018972913881698524	-1.7218659645483183	0.0	0.0	0.0	1.0	Coprococcus
Desulfovibrio	0.0012065523367705438	0.0006709100206161238	-0.12793761330691938	0.8981983445070904	-0.04662774973210836	0.0	0.0	0.0	0.0	Desulfovibrio
Dialister	0.0006364763308163845	0.0008489881111812694	-0.8507581374333542	0.39490372057173617	-0.40350877455375006	0.0	0.0	0.0	0.0	Dialister
Dorea	0.0043768638029782845	0.005293595449882282	-1.3797828675632318	0.16765350917999433	-0.775587351859034	0.0	0.0	0.0	0.0	Dorea
Eggerthella	0.0008466276861139245	0.0004618135560018128	3.482926080406092	0.0004959652886411645	3.304548717620928	1.0	1.0	1.0	1.0	Eggerthella
Enterobacter	0.0028254120705642747	0.0015580690754677308	-0.3282112611418016	0.7427519338836446	-0.12915620876172398	0.0	0.0	0.0	0.0	Enterobacter
Enterococcus	0.0013643382362464086	0.000907779313078557	1.6874809248836709	0.09151091475107473	1.0385271033820462	0.0	0.0	0.0	0.0	Enterococcus
Escherichia	0.05254342480197138	0.02818104832928765	1.5719591981002077	0.11596001410201284	0.9356917405020524	0.0	0.0	0.0	0.0	Escherichia
Eubacterium	0.03398398493219573	0.04284689186321377	-2.666716496777138	0.007659625484149433	-2.1157924645897976	0.0	0.0	1.0	1.0	Eubacterium
Faecalibacterium	0.04160743263161834	0.05909363446792622	-3.452696095827242	0.0005550139059164218	-3.2556961354591074	1.0	1.0	1.0	1.0	Faecalibacterium
Fusobacterium	0.0033691806567504165	0.002675515615920328	-0.5398211531937527	0.5893203775834002	-0.2296485415639081	0.0	0.0	0.0	0.0	Fusobacterium
Haemophilus	0.0011984002246957111	0.0024512386412036628	-4.882142509484299	1.0493937022492184e-06	-5.979061546471414	1.0	1.0	1.0	1.0	Haemophilus
Klebsiella	0.012072941383265152	0.011085701937312807	0.26991057659687634	0.7872290501228044	0.10389888805836144	0.0	0.0	0.0	0.0	Klebsiella
Lactobacillus	0.008882781836484992	0.0010740544816728414	3.132042330830153	0.0017359484425320778	2.7604631774638606	0.0	0.0	1.0	1.0	Lactobacillus
Megasphaera	0.0073983482511761865	0.004152027471817296	2.713141115951801	0.00666487176293714	2.176208202316822	0.0	0.0	1.0	1.0	Megasphaera
Methanobrevibacter	0.0008007668522136938	0.00024749934499251154	-0.2612734381457763	0.7938816486296767	-0.10024423709199401	0.0	0.0	0.0	0.0	Methanobrevibacter
Mitsuokella	0.00042472112580440994	0.000268780640450487	0.7406346221818286	0.4589150096224386	0.3382677377082644	0.0	0.0	0.0	0.0	Mitsuokella
Odoribacter	0.00488628494423713	0.0044974961078015655	-0.11876065370262559	0.9054649818035138	-0.043128341046863236	0.0	0.0	0.0	0.0	Odoribacter
Olsenella	0.00014142893536892218	4.306933472981823e-06	1.5201363673936075	0.12847670607179656	0.8911756065079584	0.0	0.0	0.0	0.0	Olsenella
Parabacteroides	0.016296646106911155	0.010981103050016938	1.929320801514472	0.05369104891577341	1.2700981115166912	0.0	0.0	0.0	0.0	Parabacteroides
Paraprevotella	0.0008831485960890069	0.0011523998785779436	-2.333107024103399	0.01964252890240995	-1.7068025991530094	0.0	0.0	0.0	1.0	Paraprevotella
Phascolarctobacterium	0.0020508873140737804	0.001361873925465233	1.6270209557259705	0.10373264718999878	0.984084539049018	0.0	0.0	0.0	0.0	Phascolarctobacterium
Prevotella	0.05795059960053283	0.11112091648960122	-1.8062415785862964	0.07088061289497515	-1.1494725358197233	0.0	0.0	0.0	0.0	Prevotella
Pseudoflavonifractor	0.0010447352776161735	0.0008665088537275009	2.134452839728098	0.03280573017436769	1.484050291478709	0.0	0.0	0.0	1.0	Pseudoflavonifractor
Pyramidobacter	0.00047180047208000077	8.280523306982383e-05	0.7082453529902035	0.47879290637854666	0.3198522925669536	0.0	0.0	0.0	0.0	Pyramidobacter
Roseburia	0.018855826448237713	0.03746051595839544	-4.876744297952362	1.0785109479832186e-06	-5.9671754420082905	1.0	1.0	1.0	1.0	Roseburia
Ruminococcus	0.027561908865456716	0.02321985553876298	0.35412267649510176	0.7232469484293161	0.14071339007970984	0.0	0.0	0.0	0.0	Ruminococcus
Shigella	0.003738126996977711	0.002202120764937767	1.5071806597169575	0.1317643562162107	0.8802020555399678	0.0	0.0	0.0	0.0	Shigella
Streptococcus	0.003508441847275595	0.005571395005016509	0.09284923834932546	0.9260233333836222	0.033378070086877244	0.0	0.0	0.0	0.0	Streptococcus
Subdoligranulum	0.001153465502759389	0.0021109397105918562	-2.335266308716174	0.01952951305372074	-1.7093085852179586	0.0	0.0	0.0	1.0	Subdoligranulum
Sutterella	0.0006738200480181245	0.001024614679522917	0.026991057659687633	0.9784668663883462	0.009453876176999353	0.0	0.0	0.0	0.0	Sutterella
Veillonella	0.0030746503149026634	0.0022717243769233625	-2.2823638357031863	0.022467868595889538	-1.6484381247748412	0.0	0.0	0.0	1.0	Veillonella
