# PyCode/FiShTaCo/fishtaco/compute_contribution_to_DA.py {'multiple_hypothesis_correction': 'FDR-0.1', 'write_log': True, 'single_function_filter': 'M00002', 'taxa_abun_file': 'IGC/QIN_T2D/genus_vs_sample.tab', 'perform_inference_on_ko_level': False, 'number_of_shapley_orderings_per_taxa': '5', 'function_abun_file': 'IGC/Data//WGS_KO_vs_SAMPLE_MUSiCC.tab', 'functional_profile_already_corrected_with_musicc': True, 'score_to_compute': 'wilcoxon', 'case_label': '1', 'max_da_functions_cases_controls': '200', 'max_score_cutoff': '100', 'normalization_mode': 'scale_permuted', 'class_file': 'IGC/QIN_T2D/sample_vs_class.tab', 'map_function_level': 'module', 'na_rep': '0', 'taxa_assessment_method': 'multi_taxa', 'output_pref': 'IGC/QIN_T2D/Output_Genus_REMOVE_RESIDUAL_SCALE_PERMUTED_MAPPING_511_GENOMES_MEAN/Parallel/M00002/module_with_t2f', 'apply_inference': False, 'taxa_to_function_file': 'IGC/Data//genus_vs_KO_511_GENOMES_MEAN.tab', 'residual_mode': 'remove_residual', 'control_label': '0', 'number_of_permutations': '100', 'map_function_file': '/net/gs/vol1/home/ohadm/MUSiCC/Matrices/KOvsMODULE_BACTERIAL_KEGG_2013_07_15', 'da_result_file': 'IGC/QIN_T2D/Output_Genus_REMOVE_RESIDUAL_SCALE_PERMUTED_MAPPING_511_GENOMES_MEAN/Parallel/DA_of_MODULE.tab', 'permutation_mode': 'blocks'}
Function	meanCases	meanControls	StatValue	pval	singLogP	Bonf	FDR-0.01	FDR-0.05	FDR-0.1	Metadata
M00200	0.03405493507962192	0.010259330563042278	2.557672623832	0.010537524290365698	1.9772614112607123	0.0	0.0	0.0	1.0	M00200
M00207	9.475661672840692	8.04827657386571	2.212187085787998	0.026953740792518013	1.5693809524509963	0.0	0.0	0.0	1.0	M00207
M00209	0.4735084138464185	0.31636516681639504	4.7882136288285855	1.6827246860980038e-06	5.77398693398806	1.0	1.0	1.0	1.0	M00209
M00211	0.5933230987184894	0.4760695704412697	3.186024446149528	0.0014424240849325812	2.8409070345760115	0.0	0.0	1.0	1.0	M00211
M00212	3.0280150188036417	2.3272438472329737	2.4345934009038244	0.014908531673411638	1.826565127676212	0.0	0.0	0.0	1.0	M00212
M00215	0.20584726078101406	0.12883311041489434	2.245655997286011	0.024726050717094786	1.6068452442832342	0.0	0.0	0.0	1.0	M00215
M00216	0.22101810305204492	0.12951494059706034	4.344480640903321	1.3960555357478888e-05	4.855097304929822	1.0	1.0	1.0	1.0	M00216
M00217	0.13716405806271886	0.06151787082798391	3.202219080745341	0.0013637323952941712	2.8652708427654323	0.0	0.0	1.0	1.0	M00217
M00218	0.0015062904052294134	0.0011002740407561246	2.883724600361026	0.00393002282222859	2.4056049276044305	0.0	0.0	1.0	1.0	M00218
M00221	2.5963823986162424	2.07595559910259	2.700185408275151	0.006930084318070862	2.159261481311696	0.0	0.0	1.0	1.0	M00221
M00223	0.4929336066988304	0.34490263561726353	3.772270218517944	0.00016176892203892572	3.791104908455488	0.0	1.0	1.0	1.0	M00223
M00227	0.3555497074797496	0.23182959046683724	3.2821126114180164	0.0010303244888512394	2.9870259776986625	0.0	0.0	1.0	1.0	M00227
M00230	0.17983880928680318	0.10776945886981472	2.323930064499105	0.02012924261424941	1.696172565629986	0.0	0.0	0.0	1.0	M00230
M00237	2.9437589228953986	2.269895405588504	4.338002787064997	1.4378333217748975e-05	4.842291455836964	1.0	1.0	1.0	1.0	M00237
M00238	1.5630781491947798	1.305576701525112	2.739052531305101	0.006161652738893932	2.210302781486763	0.0	0.0	1.0	1.0	M00238
M00239	7.579919975608235	5.937496314810286	3.719367745504956	0.0001997220904150886	3.699573896998128	0.0	1.0	1.0	1.0	M00239
M00243	0.022692966182816385	0.020199083927035528	2.6364865121982883	0.008376953038814652	2.0769139192049484	0.0	0.0	1.0	1.0	M00243
M00244	0.4896981101210399	0.3874824333160852	2.2510542088179486	0.024382104184695347	1.6129288173243317	0.0	0.0	0.0	1.0	M00244
M00245	3.201651196755185	2.8095636074474397	3.0532284424638654	0.00226393522351091	2.645136003488284	0.0	0.0	1.0	1.0	M00245
M00246	3.2315594937080614	2.8223907524618004	3.08993628088104	0.0020019943996684533	2.698537141740061	0.0	0.0	1.0	1.0	M00246
M00260	7.204857475028012	6.881429799458197	2.3082752510564863	0.020983832055913997	1.6781151982793925	0.0	0.0	0.0	1.0	M00260
M00268	0.21758958658219754	0.14592958685435325	2.448628750886862	0.014340116851717013	1.843447309766605	0.0	0.0	0.0	1.0	M00268
M00269	0.20794122114407526	0.14668736785939246	3.127723761604603	0.0017616566672798875	2.7540787281798083	0.0	0.0	1.0	1.0	M00269
M00274	0.1777825238347918	0.12418901100781818	2.7271764659348383	0.006387886674575426	2.1946427971426843	0.0	0.0	1.0	1.0	M00274
M00276	1.6323816622895717	1.276345411922572	2.7617250197392385	0.005749688090608554	2.240355714301974	0.0	0.0	1.0	1.0	M00276
M00280	0.2730022275853387	0.1993171036135528	2.2931602587670614	0.021838780201702684	1.6607716226735203	0.0	0.0	0.0	1.0	M00280
M00283	0.5208762827982766	0.3501948754859971	4.21924213336237	2.451249068430469e-05	4.610612558372842	1.0	1.0	1.0	1.0	M00283
M00303	0.1901930332532407	0.12820441394117668	2.4205580509207874	0.015496704767086825	1.8097606407726328	0.0	0.0	0.0	1.0	M00303
M00305	0.02436367971943512	0.01399909725919087	2.4610446374103185	0.013853312920776023	1.858446355757588	0.0	0.0	0.0	1.0	M00305
M00306	0.3099545865205741	0.14518559047762908	3.4235457535547797	0.0006180984568042135	3.2089423407023845	0.0	1.0	1.0	1.0	M00306
M00307	1.4060818474709629	1.1125725410641905	4.184693579557972	2.855510213931015e-05	4.544316282059901	1.0	1.0	1.0	1.0	M00307
M00331	0.6453858349489354	0.3338220692445381	3.165511242328165	0.0015481067925772088	2.810199083816392	0.0	0.0	1.0	1.0	M00331
M00332	0.3046677342968591	0.1218227109773894	2.3244698856522987	0.0201003237586388	1.6967969472830975	0.0	0.0	0.0	1.0	M00332
M00336	1.1830053461903167	1.0439462120571792	2.3277088125714616	0.01992757088426607	1.7005456373684726	0.0	0.0	0.0	1.0	M00336
M00344	1.5550558113513937	1.3324660507187251	3.4278643227803283	0.0006083494158741744	3.215846904612509	0.0	1.0	1.0	1.0	M00344
M00348	0.2741725684803452	0.16409460497902328	2.799512500462801	0.0051179834881424175	2.290901119586036	0.0	0.0	1.0	1.0	M00348
M00349	0.19550349415348656	0.11559189295951995	2.320151316426749	0.0203326931305568	1.6918050938520242	0.0	0.0	0.0	1.0	M00349
M00356	0.3769474084053969	0.28803079796564296	3.5466249764829554	0.00039019961638702365	3.4087131619048034	0.0	1.0	1.0	1.0	M00356
M00358	0.11302902400026707	0.06613994825796056	5.890528423650229	3.849626479756367e-09	8.414581407024029	1.0	1.0	1.0	1.0	M00358
M00364	0.9946228824271108	0.9508074388839342	2.8783263888290893	0.0039979126723726725	2.3981666965412827	0.0	0.0	1.0	1.0	M00364
M00365	0.14396593094424295	0.07966605892201188	5.25785803210715	1.4574295889744296e-07	6.836412417603957	1.0	1.0	1.0	1.0	M00365
M00367	0.10077355214174208	0.06654832980289536	4.103720406578908	4.065587595335274e-05	4.3908766773836465	1.0	1.0	1.0	1.0	M00367
M00448	0.1817961786514864	0.15279923133437973	2.7595657351264635	0.005787824167407432	2.2374846711059764	0.0	0.0	1.0	1.0	M00448
M00449	0.11572591977218212	0.06034713871996096	2.2769656241712486	0.022788278485961662	1.6422884818528236	0.0	0.0	0.0	1.0	M00449
M00455	0.15177424628478547	0.11375557319318592	2.6224511622152504	0.008729977881779455	2.058986856618978	0.0	0.0	1.0	1.0	M00455
M00467	0.1203596230772306	0.1026515393278314	2.354699870231149	0.018537671450308053	1.7319448192634468	0.0	0.0	0.0	1.0	M00467
M00473	0.112744219685167	0.06455830991316112	2.8664503234588268	0.004151033014551407	2.3818438125187393	0.0	0.0	1.0	1.0	M00473
M00479	0.15613391473023638	0.10591906376799894	3.8165355530798313	0.00013533858168372756	3.8685783791319817	0.0	1.0	1.0	1.0	M00479
M00481	0.2125246432506788	0.16761913136521506	3.581173530287355	0.00034205436465279266	3.4659048635568426	0.0	1.0	1.0	1.0	M00481
M00501	0.15080391287436884	0.1246771058374262	3.0953344924129778	0.0019659105564565483	2.7064362452633013	0.0	0.0	1.0	1.0	M00501
M00502	0.1038733467745642	0.06684313173330529	3.0672637924469024	0.002160281207772269	2.6654897122589434	0.0	0.0	1.0	1.0	M00502
M00504	0.03140101795454632	0.021974780801609986	2.3870891394227742	0.016982373063373666	1.7700016229072577	0.0	0.0	0.0	1.0	M00504
M00505	0.04358713883520246	0.03365274422065185	3.362006142090692	0.0007737840241501117	3.1113802411372267	0.0	0.0	1.0	1.0	M00505
M00507	0.13086495435784107	0.07195558907885431	3.3468911498012663	0.0008172329346718281	3.0876541395212103	0.0	0.0	1.0	1.0	M00507
M00515	0.03325134816889664	0.023168576290838176	3.594129237964005	0.0003254782603214035	3.4874780139706165	0.0	1.0	1.0	1.0	M00515
M00530	0.6287093855684882	0.4375241118232272	2.564150477670325	0.010342869259984823	1.9853589650216643	0.0	0.0	0.0	1.0	M00530
M00531	0.08836637168817281	0.07411418708078138	3.0068038232892023	0.002640100805814568	2.578379490337292	0.0	0.0	1.0	1.0	M00531
M00537	0.022537690959198612	0.008342100752172002	3.915322824114288	9.028332437509059e-05	4.044392457888732	1.0	1.0	1.0	1.0	M00537
M00538	0.022537690959198612	0.008342100752172002	3.915322824114288	9.028332437509059e-05	4.044392457888732	1.0	1.0	1.0	1.0	M00538
M00540	0.0199514726437559	0.008937959718377138	3.5547222937808614	0.0003783785075969667	3.4220735400744937	0.0	1.0	1.0	1.0	M00540
M00542	0.2767925892115891	0.1105741463822909	2.2337799319157483	0.025497556609734996	1.5935014353210175	0.0	0.0	0.0	1.0	M00542
M00546	0.7853297207798828	0.4630164161399317	3.9298979952505193	8.498190533718148e-05	4.0706735360360105	1.0	1.0	1.0	1.0	M00546
M00549	4.143142545927402	3.673541155003622	3.3576875728651414	0.0007859739592345638	3.1045918426986088	0.0	0.0	1.0	1.0	M00549
M00550	1.107026776592875	0.8846165646397419	2.8437778350246887	0.0044582121616429885	2.350839267744891	0.0	0.0	1.0	1.0	M00550
M00555	0.06755386550467267	0.03625769147137385	2.6915482698240507	0.00711212054776953	2.14800089084726	0.0	0.0	1.0	1.0	M00555
M00568	0.44186114347541416	0.3954717734890836	2.5177258584956625	0.011811521374017362	1.9276941598135149	0.0	0.0	0.0	1.0	M00568
M00580	0.4741153250284628	0.3371776071856305	5.022496009314675	5.100425734603258e-07	6.2923935716526245	1.0	1.0	1.0	1.0	M00580
